site_no	Time_zone	dec_lat_va	dec_long_va	parm_cd	huc_cd	begin_date	end_date	count_nu	station_nm	Natural 	Drainage area (mi^2)	Remarks	Ice effect	Tidal effect	pic	Google earth																														
04092750	US/Eastern	41.6492023	-87.4686529	72255	4040001	10/1/2007	8/24/2018	3980	"INDIANA HARBOR CANAL AT EAST CHICAGO, IN"	no		Nothing on website	not mentioned but can be	"Maybe, near lake Michigan"		"https://earth.google.com/web/@41.6492023,-87.4686529,181.18545754a,765.55325949d,35y,0h,45t,0r/data=CjkaNxIxCgAZdn6bDxnTREAhPKu7aP7dVcAqGzQxwrAzOCc1Ny4xIk4gODfCsDI4JzA3LjIiVxgCIAEoAg"																														
04159130	US/Eastern	42.98697429	-82.4246369	72255	4090001	11/12/2008	8/24/2018	3572	"ST. CLAIR RIVER AT PORT HURON, MI"	yes		Ice Remarks	"NOTE: During winter months, stage and discharge may be affected by ice. Click here for more information."	Maybe near Lake Huron		"https://earth.google.com/web/@42.9869743,-82.4246369,175.303437a,747.99397442d,35y,0h,45t,0r/data=CjkaNxIxCgAZCj-CLFV-RUAhMIs_QC2bVMAqGzQywrA1OScxMy4xIk4gODLCsDI1JzI4LjciVxgCIAEoAg"																														
04165710	US/Eastern	42.29805556	-83.09277778	72255	4090004	10/1/2008	8/24/2018	3614	"DETROIT RIVER AT FORT WAYNE AT DETROIT, MI"	yes		Ice Remarks	"NOTE: During winter months, stage and discharge may be affected by ice. Click here for more information."	Maybe near Lake Erie	https://cida.usgs.gov/stormsummary/timelapse/BasicData/MIWSC/MI/MI_DetriotR_FortWayne_timelapse_videos/04165710_idx328_MI_DetriotR_FortWayne_timelapse_1920x1080at10fps_qmax42.webm																															
05537980	US/Central	41.53638889	-88.0825	72255	7120004	10/1/2007	8/24/2018	3980	"DES PLAINES RIVER AT ROUTE 53 AT JOLIET, IL"	yes		Nothing on website	not mentioned but can be	not sure		"https://earth.google.com/web/@41.5363889,-88.0825,164.83411121a,767.01772131d,35y,0h,45t,0r/data=CjkaNxIxCgAZ_bc3ZKjEREAh4XoUrkcFVsAqGzQxwrAzMicxMS4wIk4gODjCsDA0JzU3LjAiVxgCIAEoAg"	"https://earth.google.com/web/@41.53648911,-88.08283904,168.50568261a,0d,60y,184.93172275h,78.25866188t,0r/data=CjkaNxIxCgAZ_bc3ZKjEREAh4XoUrkcFVsAqGzQxwrAzMicxMS4wIk4gODjCsDA0JzU3LjAiVxgBIAEiGgoWRVYyNXhHU0xyZ3lNWXdZVm5ZQ1ZZURAC"																													
05558300	US/Central	41.1072222	-89.3561111	72254	7130001	10/1/2007	8/24/2018	3980	"ILLINOIS RIVER AT HENRY, IL"	yes		Nothing on website	not mentioned but can be	probably no		"https://earth.google.com/web/@41.1072222,-89.3561111,134.46495527a,772.55685497d,35y,0h,45t,0r/data=CjkaNxIxCgAZ3DMBdbmNREAhhg82hspWVsAqGzQxwrAwNicyNi4wIk4gODnCsDIxJzIyLjAiVxgCIAEoAg"	"https://earth.google.com/web/@41.10823683,-89.35541178,140.38828165a,0d,60y,172.34150941h,88.34220681t,0r/data=CjkaNxIxCgAZ3DMBdbmNREAhhg82hspWVsAqGzQxwrAwNicyNi4wIk4gODnCsDIxJzIyLjAiVxgBIAEiGgoWUEFWMVZBZ3pxSkJSdktsXzFXaFVhZxAC"																													
07346080	US/Central	32.7386111	-94.2325	72255	11140306	10/1/2007	8/24/2018	3980	"Big Cypress Ck abv SH 43 nr Karnack, TX"	yes	2074	Nothing on website	no	probably no		"https://earth.google.com/web/@32.7386111,-94.2325,54.14620354a,871.78198996d,35y,0h,45t,0r/data=CjkaNxIxCgAZNnv7zopeQEAhexSuR-GOV8AqGzMywrA0NCcxOS4wIk4gOTTCsDEzJzU3LjAiVxgCIAEoAg"																														
07374525	US/Central	29.85715084	-89.977847	72255	8090100	10/29/2008	8/24/2018	3586	"Mississippi River at Belle Chasse, LA"	yes		Nothing on website	probably no	maybe		"https://earth.google.com/web/@29.8571508,-89.977847,-0.57087655a,901.72718596d,35y,0h,45t,0r/data=CjkaNxIxCgAZgL0dPG7bPUAheF-VC5V-VsAqGzI5wrA1MScyNS43Ik4gODnCsDU4JzQwLjMiVxgCIAEoAg"																														
08211503	US/Central	27.8969652	-97.6255509	72255	12110111	10/1/2007	5/12/2018	3876	"Rincon Bayou Channel nr Calallen, TX"	no		Tide Remarks	no	"Data are tidally affected -- Astronomical tides cause significant cycles of approximately 24.84 hours at this site. Because a different portion of the 24.84-hour tidal cycle is averaged in successive daily (24-hour) computations, a systematic secondary oscillation, unrelated to basin hydrology and having a period of about two weeks may be apparent in daily data."		"https://earth.google.com/web/@27.8969652,-97.6255509,2.54104754a,920.75230365d,35y,0h,45t,0r/data=CjkaNxIxCgAZbabngp_lO0Ah716kBgloWMAqGzI3wrA1Myc0OS4xIk4gOTfCsDM3JzMyLjAiVxgCIAEoAg"																														
09429070	US/Mountain	33.73163259	-114.503983	72255	15030107	10/1/2009	8/24/2018	3249	"CRIR LWR MAIN DRAIN BLW TYSON WW, NR EHRENBERG, AZ"	no (drain)		Nothing on website	no	no		"https://earth.google.com/web/@33.7316326,-114.503983,86.97514246a,860.93621135d,35y,0h,45t,0r/data=CjoaOBIyCgAZ_tcUI6bdQEAhW6_pQUGgXMAqHDMzwrA0Myc1My45Ik4gMTE0wrAzMCcxNC4zIlcYASABKAI"																														
09522800	US/Mountain	32.6903255	-114.4760589	72255	15070201	10/1/2007	8/24/2018	3980	"SOUTH GILA MAIN CANAL NEAR YUMA, AZ"	no		Nothing on website	no	probably no		"https://earth.google.com/web/@32.6903255,-114.4760589,46.17261492a,872.30339147d,35y,0h,45t,0r/data=CjoaOBIyCgAZJAwDllxYQEAhEJ6_v3eeXMAqHDMywrA0MScyNS4yIk4gMTE0wrAyOCczMy44IlcYAiABKAI"																														
09522850	US/Mountain	32.68305556	-114.47	72255	15070201	10/1/2007	8/24/2018	3980	"GILA GRAVITY CANAL AT YUMA-MESA PUMPING PLANT, AZ"	no		Nothing on website	no	probably no		"https://earth.google.com/web/@32.6830556,-114.47,60.86845281a,872.38074673d,35y,0h,45t,0r/data=CjoaOBIyCgAZwayrXW5XQEAhrkfhehSeXMAqHDMywrA0MCc1OS4wIk4gMTE0wrAyOCcxMi4wIlcYAiABKAI"																														
09525500	US/Mountain	32.73032465	-114.6199524	72255	15030107	8/26/2008	8/24/2018	3650	"YUMA MAIN CANAL BLW COLORADO R. SIPHON AT YUMA, AZ"	no		Nothing on website	no	probably no		"https://earth.google.com/web/@32.7303246,-114.6199524,41.20829087a,871.87079638d,35y,0h,45t,0r/data=CjoaOBIyCgAZbTvIRntdQEAh6MTUTK2nXMAqHDMywrA0Myc0OS4yIk4gMTE0wrAzNycxMS44IlcYASABKAI"																														
09527590	US/Mountain	32.71416667	-114.9438889	72255	15030107	12/1/2008	8/24/2018	3553	COACHELLA CANAL ABOVE ALL-AMERICAN CANAL DIVERSION	no		Nothing on website	no	probably no		"https://earth.google.com/web/@32.7141667,-114.9438889,48.31282511a,872.04554897d,35y,0h,45t,0r/data=CjoaOBIyCgAZNTJ-0GlbQEAhrCP9rGi8XMAqHDMywrA0Mic1MS4wIk4gMTE0wrA1NiczOC4wIlcYAiABKAI"																														
09527594	US/Mountain	33.2562222	-115.4511667	72255	18100204	10/17/2009	8/24/2018	3233	"COACHELLA CANAL NEAR NILAND, CA"	no		Nothing on website	no	probably no		"https://earth.google.com/web/@33.25616452,-115.45121531,29.86862082a,1033.34193134d,35y,132.92732339h,45.00106302t,0r/data=CjoaOBIyCgAZLMGY48ugQEAh1WJL6t_cXMAqHDMzwrAxNScyMi40Ik4gMTE1wrAyNycwNC4yIlcYAiAB"																														
09527597	US/Mountain	33.53808109	-115.9186083	72255	18100204	10/24/2009	8/24/2018	3226	"COACHELLA CANAL NEAR DESERT BEACH, CA"	no		Nothing on website	no	probably no		"https://earth.google.com/web/@33.5380811,-115.9186083,17.00802145a,863.07207987d,35y,0h,45t,0r/data=CjoaOBIyCgAZQIxr19_EQEAhYpV3esr6XMAqHDMzwrAzMicxNy4xIk4gMTE1wrA1NScwNy4wIlcYAiABKAI"																														
11312676	US/Pacific	37.9427017	-121.5341175	72255	18040003	10/1/2007	8/24/2018	3980	MIDDLE R AT MIDDLE RIVER CA	yes		Nothing on website	no	probably yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11312676_gh.jpg																															
11312685	US/Pacific	38.00305556	-121.5108333	72255	18040003	10/1/2007	8/24/2018	3980	MIDDLE R NR HOLT CA	yes		Nothing on website	no	probably yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11312685_gh.jpg																															
11313240	US/Pacific	37.82	-121.5447222	72255	18040003	10/1/2007	8/24/2018	3980	GRANT LINE CN NR TRACY CA	no		Nothing on website	no	probably no	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11313240_gh.jpg																															
11313405	US/Pacific	37.96992306	-121.572174	72255	18040003	10/1/2007	8/24/2018	3980	OLD R A BACON ISLAND CA	yes		Nothing on website	no	probably yes	"https://earth.google.com/web/@37.9699231,-121.572174,-0.21199655a,811.77319719d,35y,0h,45t,0r/data=CjoaOBIyCgAZRRGtcCb8QkAhxmeyf55kXsAqHDM3wrA1OCcxMS43Ik4gMTIxwrAzNCcxOS44IlcYASABKAI"																															
11313431	US/Pacific	38.01638889	-121.5819444	72255	18040003	10/1/2007	8/24/2018	3980	HOLLAND CUT NR BETHEL ISLAND CA	no		Nothing on website	no	probably yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11313431_gh.jpg																															
11313434	US/Pacific	38.0272222	-121.5644444	72255	18040003	10/1/2007	8/24/2018	3980	OLD R A QUIMBY ISLAND NR BETHEL ISLAND CA	yes		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11313434_gh.jpg																															
11313440	US/Pacific	38.0558333	-121.6669444	72255	18040003	10/1/2007	8/24/2018	3980	FALSE R NR OAKLEY CA	yes		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11313440_gh.jpg																															
11336790	US/Pacific	38.09638889	-121.496111	72255	18040012	10/1/2007	8/24/2018	3980	LITTLE POTATO SLOUGH A TERMINOUS CA	no		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11336790_gh.jpg																															
11337080	US/Pacific	38.1033333	-121.686111	72255	18020163	10/1/2007	8/24/2018	3980	THREEMILE SLOUGH NR RIO VISTA CA	no		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11337080_gh.jpg	" is a wetland, usually a swamp or shallow lake, often a backwater to a larger body of water. ... In North America, ""slough"" may refer to a side-channel from or feeding a river, or an inlet or natural channel only sporadically filled with water."																														
11337190	US/Pacific	38.0521424	-121.6888428	72255	18040003	10/1/2007	8/24/2018	3980	SAN JOAQUIN R A JERSEY POINT CA	yes		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11337190_gh.jpg																															
11447850	US/Pacific	38.2847222	-121.5866667	72255	18020163	10/1/2007	8/24/2018	3980	STEAMBOAT SLOUGH NR WALNUT GROVE CA	no		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11447850_gh.jpg	"https://earth.google.com/web/@38.28472981,-121.58686806,4.31597048a,110.02419164d,35y,164.19209185h,44.99556224t,-0r/data=CjoaOBIyCgAZ-7jsxnEkQ0Ahvol88otlXsAqHDM4wrAxNycwNS4wIk4gMTIxwrAzNScxMi4wIlcYAiAB"																														
11447890	US/Pacific	38.25769218	-121.5182865	72255	18020163	10/25/2007	8/24/2018	3956	SACRAMENTO R AB DELTA CROSS CHANNEL CA	no		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11447890_gh.jpg																															
11447903	US/Pacific	38.2372222	-121.5175	72255	18040012	10/1/2007	8/24/2018	3980	GEORGIANA SLOUGH NR SACRAMENTO R	no		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11447903_gh.jpg																															
11447905	US/Pacific	38.23880385	-121.5227309	72255	18020163	10/1/2007	8/24/2018	3980	SACRAMENTO R BL GEORGIANA SLOUGH CA	no		Nothing on website	no	yes		"https://earth.google.com/web/@38.2388038,-121.5227309,4.62406546a,808.50143141d,35y,0h,45t,0r/data=CjoaOBIyCgAZjJR3H5EeQ0Ah9AZObHRhXsAqHDM4wrAxNCcxOS43Ik4gMTIxwrAzMScyMS44IlcYASABKAI"																														
11455165	US/Pacific	38.29166667	-121.6308333	72255	18020163	10/1/2007	8/24/2018	3980	MINER SLOUGH A HWY 84 BRIDGE	no		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11455165_gh.jpg																															
11455350	US/Pacific	38.21277778	-121.6691667	72255	18020163	10/1/2007	8/24/2018	3980	CACHE SLOUGH A RYER ISLAND	no		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11455350_gh.jpg																															
11455420	US/Pacific	38.14904444	-121.6889444	72255	18020163	10/1/2007	8/24/2018	3980	SACRAMENTO R A RIO VISTA CA	yes		Nothing on website	no	yes	https://waterdata.usgs.gov/nwisweb/local/state/ca/text/11455420_gh.jpg	"https://earth.google.com/web/@38.14915593,-121.68892494,-0.04715543a,143.79800998d,35y,-143.67296113h,44.99576647t,0r/data=CjoaOBIyCgAZc9ML4xMTQ0AhyrBAqhdsXsAqHDM4wrAwOCc1Ni42Ik4gMTIxwrA0MScyMC4yIlcYAiAB"																														
